"","rSim.apple","rSim.ibm","rSim.invgy","rSim.yandex","rSim.microsoft","rSim.bidu","mean","mu","Cov","Sigma","CVaR","VaR"
"1",0,-2.00705827513303e-08,1.00000002007058,0,0,0,-0.00128144757717615,-0.00128144757717615,0.0134114967708576,0.0134114967708576,0.033219820780082,0.0220009623716077
"2",0,0.043428308404692,0.956571691595308,0,0,0,-0.00124013007280679,-0.00124013007280679,0.0128969045674401,0.0128969045674401,0.0319112199902559,0.0213516521818461
"3",0,0.0868566168093835,0.913143383190616,0,0,0,-0.00119881258753248,-0.00119881258753248,0.0123927086604371,0.0123927086604371,0.0306161120353555,0.0204516777086112
"4",0,0.130284925214076,0.869715074785925,0,0,0,-0.00115749510225817,-0.00115749510225817,0.0119002302817459,0.0119002302817459,0.0293563276174142,0.0193753635244399
"5",0,0.173713233618767,0.826286766381233,0,0,0,-0.00111617761698387,-0.00111617761698387,0.0114209853283324,0.0114209853283324,0.0281109232508729,0.0186540568353793
"6",0,0.217141542023459,0.782858457976541,0,0,0,-0.00107486013170956,-0.00107486013170956,0.0109567104222335,0.0109567104222335,0.0268874073206987,0.0177608728070472
"7",0,0.260569850428151,0.73943014957185,0,0,0,-0.00103354264643526,-0.00103354264643526,0.0105093897529148,0.0105093897529148,0.0256975401404632,0.0173447292588143
"8",0,0.303998158832842,0.696001841167158,0,0,0,-0.000992225161160951,-0.000992225161160951,0.010081280423436,0.010081280423436,0.0245579958185968,0.0166231192126298
"9",0,0.347426467237534,0.652573532762466,0,0,0,-0.000950907675886645,-0.000950907675886645,0.00967493303690161,0.00967493303690161,0.0234660852254344,0.0159142344218246
"10",0,0.390854775642226,0.609145224357774,0,0,0,-0.000909590190612339,-0.000909590190612339,0.00929320266949997,0.00929320266949997,0.0224460182708771,0.0152209686380076
"11",0,0.434283084046918,0.565716915953082,0,0,0,-0.000868272705338033,-0.000868272705338033,0.00893924352166144,0.00893924352166144,0.0214918045694612,0.0149168182055017
"12",0,0.47771139245161,0.522288607548391,0,0,0,-0.000826955220063727,-0.000826955220063727,0.00861647874238801,0.00861647874238801,0.0206268033202341,0.0144370608381462
"13",0,0.521139700856301,0.478860299143699,0,0,0,-0.000785637734789421,-0.000785637734789421,0.00832853584922204,0.00832853584922204,0.0198533857224685,0.0137901643538997
"14",0,0.564568009260993,0.435431990739007,0,0,0,-0.000744320249515115,-0.000744320249515115,0.0080791388873334,0.0080791388873334,0.0191959502335641,0.0135838693382182
"15",0,0.607996317665685,0.392003682334315,0,0,0,-0.000703002764240809,-0.000703002764240809,0.00787195231344566,0.00787195231344566,0.0186866393524895,0.0131220667802985
"16",0,0.651424626070376,0.348575373929624,0,0,0,-0.000661685278966503,-0.000661685278966503,0.00771037960056416,0.00771037960056416,0.0183020458186966,0.0128071443288827
"17",0.0175314673326547,0.639557819549883,0.330033528867439,0,0,0.0128771842500233,-0.000620367793692197,-0.000620367793692197,0.00758881492408978,0.00758881492408978,0.0179888691260552,0.0126124343121492
"18",0.035961892651824,0.626190048393511,0.312256193493254,0,0,0.0255918654614111,-0.000579050308417891,-0.000579050308417891,0.00747786195378792,0.00747786195378792,0.0176935175577412,0.0124057934243949
"19",0.0597818691006667,0.611990743278707,0.295931130370583,0,0,0.0322962572500432,-0.000537732823143585,-0.000537732823143585,0.00737863805893781,0.00737863805893781,0.01742139037316,0.0120151442884671
"20",0.0791240120228056,0.59850965766379,0.278388981012229,0,0,0.043977349301175,-0.000496415337869279,-0.000496415337869279,0.00728889209565592,0.00728889209565592,0.0171724780319127,0.0117118797903592
"21",0.0908183388227065,0.591060802426908,0.256925745433972,0,0,0.0611951133164136,-0.000455097852594973,-0.000455097852594973,0.0072091298484214,0.0072091298484214,0.0169408031454013,0.0113915094630017
"22",0.117154600184533,0.579036869366591,0.240295870980377,0,0,0.0635126594684992,-0.000413780367320667,-0.000413780367320667,0.00714200656317401,0.00714200656317401,0.016731779939333,0.0112429394790885
"23",0.142287653288695,0.565731398020143,0.223904275816689,0,0,0.0680766728744731,-0.000372462882046361,-0.000372462882046361,0.00708713788055751,0.00708713788055751,0.0165485629942875,0.0110893085180767
"24",0.159781037659017,0.556243636125809,0.204442326598706,0,0,0.0795329996164671,-0.000331145396772055,-0.000331145396772055,0.00704304178591655,0.00704304178591655,0.0163947604557093,0.0109463075876229
"25",0.191888498305142,0.533035109005274,0.193314217963318,0,0,0.081762174726265,-0.000289827911497748,-0.000289827911497748,0.00701478446226444,0.00701478446226444,0.0162654750418426,0.0108694595813576
"26",0.215174655244012,0.521360952918291,0.17590877812537,0,0,0.0875556137123276,-0.000248510426223443,-0.000248510426223443,0.00699614603625917,0.00699614603625917,0.0161777107420232,0.0108436500749445
"27",0.233753840680619,0.507725912350899,0.158265196028614,0,0,0.100255050939868,-0.000207192940949136,-0.000207192940949136,0.00698903123070195,0.00698903123070195,0.0161089774150786,0.0106180752612203
"28",0.259411357727488,0.494888242848342,0.14180455134558,0,0,0.10389584807859,-0.000165875455674831,-0.000165875455674831,0.00699598823228028,0.00699598823228028,0.0160647241858927,0.0106521854547955
"29",0.278607886408546,0.4753252230769,0.126563512882668,0,0,0.119503377631886,-0.000124557970400524,-0.000124557970400524,0.00701528335243976,0.00701528335243976,0.0160683953907178,0.0107011675213488
"30",0.298779247691595,0.467535578045599,0.107013731140217,0,0,0.126671443122588,-8.32404851262185e-05,-8.32404851262185e-05,0.00704458995245576,0.00704458995245576,0.016110750862326,0.0106322665056982
"31",0.322781658033441,0.457018468697715,0.089958594940081,0,0.00206079526565748,0.128180483063106,-4.19229998519124e-05,-4.19229998519124e-05,0.00708786928665314,0.00708786928665314,0.0161731052846759,0.0105814609380374
"32",0.33737371227173,0.449885756494278,0.0709940354045297,0,0.00850160380054652,0.133244892028916,-6.05514577606476e-07,-6.05514577606476e-07,0.00714043708190557,0.00714043708190557,0.0162497365521177,0.010546190747045
"33",0.357720528266764,0.430597951313317,0.0578953114280902,0,0.0149278356440527,0.138858373347777,4.07119706966997e-05,4.07119706966997e-05,0.00720511112617226,0.00720511112617226,0.0163575942849199,0.010547050271493
"34",0.364072546955952,0.425683148244521,0.0378909825399689,0,0.0263134865790106,0.146039835680548,8.20294559710055e-05,8.20294559710055e-05,0.00727519957013237,0.00727519957013237,0.01648471023238,0.0105419140152973
"35",0.384737555916871,0.413150927843171,0.0203406129694165,0,0.0265612929910942,0.155209610279447,0.000123346941245312,0.000123346941245312,0.00735883722450191,0.00735883722450191,0.0166314124612054,0.0106560606453876
"36",0.41282246517101,0.375678904545243,0.0180203014772287,0,0.0399696311776604,0.153508697628858,0.000164664426519618,0.000164664426519618,0.00745298258878436,0.00745298258878436,0.0167944134229183,0.0107250926459106
"37",0.440032919341165,0.363987222229819,0.000894390174896535,0,0.0381995940544388,0.156885874199681,0.000205981911793924,0.000205981911793924,0.00755785727834443,0.00755785727834443,0.0169769574997473,0.0107488028042552
"38",0.479654898720728,0.322394848725827,0,0,0.0433421377502758,0.15460811480317,0.00024729939706823,0.00024729939706823,0.00768694619275943,0.00768694619275943,0.0171707783029328,0.0109575600791233
"39",0.486341927004467,0.284892177191109,0,0,0.0785632527715711,0.150202643032853,0.000288616882342536,0.000288616882342536,0.00780255890652314,0.00780255890652314,0.0173963757779494,0.0110935751255352
"40",0.503311950017036,0.243744918923186,0,0,0.102379717979436,0.150563413080342,0.000329934367616842,0.000329934367616842,0.00794346887959484,0.00794346887959484,0.0176698678188565,0.0113245326166643
"41",0.520610982409534,0.203428106869758,0,0,0.126994495217837,0.148966415502871,0.000371251852891148,0.000371251852891148,0.00809877882670945,0.00809877882670945,0.0179741051097859,0.0116353639013535
"42",0.543825665246748,0.162453717043886,0,0,0.14681590289074,0.146904714818626,0.000412569338165454,0.000412569338165454,0.00827199814652304,0.00827199814652304,0.0183050325960732,0.0118698389477801
"43",0.557810531836365,0.122581597250343,0,0,0.174209808477683,0.145398062435609,0.00045388682343976,0.00045388682343976,0.00845095306684944,0.00845095306684944,0.0186673801768917,0.0121124259938288
"44",0.582943516810591,0.0825355597622511,0,0,0.193878983542138,0.140641939885019,0.000495204308714066,0.000495204308714066,0.00865012870540761,0.00865012870540761,0.0190564372766327,0.0123603253669645
"45",0.595801521912182,0.0430024390782489,0,0,0.222448490556689,0.138747548452881,0.000536521793988372,0.000536521793988372,0.00885144649245704,0.00885144649245704,0.0194722220624835,0.0127018759993752
"46",0.607941799757493,0.0036048975671865,0,0,0.251668094332509,0.136785208342811,0.000577839279262678,0.000577839279262678,0.00906334173594993,0.00906334173594993,0.0199127854109085,0.0129070112250695
"47",0.640586854711315,0,0,0,0.31103429738765,0.0483788479010346,0.000619156764536984,0.000619156764536984,0.00937100862447116,0.00937100862447116,0.0204825278093759,0.0133297357140191
"48",0.525918344449394,0,0,0,0.474081655550606,0,0.00066047424981129,0.00066047424981129,0.00977693197152143,0.00977693197152143,0.0214807668205533,0.0136729691759012
"49",0.262959172224695,0,0,0,0.737040827775305,0,0.000701791735085596,0.000701791735085596,0.0108190841910293,0.0108190841910293,0.0238836160065911,0.0147503726071837
"50",7.0473722903276e-08,0,0,0,0.999999929526277,0,0.000743109209286711,0.000743109209286711,0.0125251760300974,0.0125251760300974,0.0275798293676152,0.0170626034675218
